,,,joint powers (slow walking) n=19,,,,,joint powers (normal walking) n=19,,,,,,,joint powers (fast walking) n=17,,,,,
time,hip,[W/kg],knee,[W/kg],ankle,[W/kg],time,hip,[W/kg],knee,[W/kg],ankle,[W/kg],time,hip,[W/kg],knee,[W/kg],ankle,[W/kg]
%,avg,sd,avg,sd,avg,sd,%,avg,sd,avg,sd,avg,sd,%,avg,sd,avg,sd,avg,sd
72,0.163,0.08,-0.006,0.03,0.022,0.01,72,0.161,0.21,-0.010,0.04,0.030,0.01,72,0.184,0.18,0.038,0.09,0.031,0.02
74,0.127,0.07,-0.008,0.03,0.018,0.00,74,0.113,0.12,0.014,0.06,0.023,0.01,74,0.099,0.12,0.041,0.05,0.024,0.01
76,0.088,0.08,-0.046,0.07,0.015,0.01,76,0.076,0.08,0.001,0.08,0.019,0.01,76,0.040,0.09,0.015,0.07,0.020,0.01
78,0.042,0.07,-0.098,0.10,0.012,0.01,78,0.045,0.09,-0.034,0.10,0.017,0.01,78,0.002,0.06,-0.025,0.11,0.017,0.01
80,0.017,0.05,-0.157,0.12,0.009,0.01,80,0.016,0.08,-0.089,0.11,0.013,0.01,80,-0.016,0.07,-0.084,0.15,0.014,0.01
82,0.012,0.05,-0.209,0.13,0.005,0.01,82,-0.005,0.05,-0.182,0.12,0.008,0.01,82,-0.026,0.05,-0.200,0.22,0.010,0.01
84,0.007,0.04,-0.264,0.11,0.001,0.01,84,-0.010,0.02,-0.323,0.17,0.004,0.01,84,-0.027,0.05,-0.415,0.32,0.007,0.01
86,0.001,0.02,-0.338,0.14,-0.002,0.01,86,0.000,0.02,-0.502,0.26,0.002,0.01,86,-0.004,0.09,-0.723,0.45,0.004,0.01
88,0.006,0.02,-0.405,0.19,-0.002,0.01,88,0.027,0.05,-0.675,0.35,0.000,0.01,88,0.041,0.14,-1.055,0.59,0.002,0.01
90,0.019,0.04,-0.485,0.28,0.000,0.01,90,0.076,0.08,-0.881,0.43,0.001,0.01,90,0.083,0.16,-1.267,0.71,-0.001,0.00
92,0.034,0.06,-0.532,0.34,0.000,0.00,92,0.117,0.12,-0.976,0.48,-0.001,0.00,92,0.086,0.18,-1.179,0.74,-0.004,0.00
94,0.043,0.08,-0.439,0.37,-0.001,0.00,94,0.109,0.14,-0.798,0.47,-0.004,0.01,94,0.052,0.19,-0.729,0.72,-0.004,0.01
96,0.038,0.10,-0.209,0.32,-0.001,0.00,96,0.057,0.15,-0.366,0.39,-0.003,0.01,96,-0.001,0.19,-0.123,0.65,0.001,0.01
98,0.025,0.08,0.008,0.17,-0.001,0.01,98,0.019,0.12,0.061,0.27,0.001,0.01,98,-0.022,0.16,0.317,0.47,0.006,0.01
100,0.013,0.04,0.094,0.10,-0.003,0.00,100,0.011,0.09,0.218,0.18,0.001,0.00,100,-0.017,0.11,0.432,0.30,0.003,0.01
