,,,joint moments of force (slow walking) n=19,,,,,joint moments of force (normal walking) n=19,,,,,,,joint moments of force (fast walking) n=17,,,,,
time,hip,[Nm/kg],knee,[Nm/kg],ankle,[Nm/kg],time,hip,[Nm/kg],knee,[Nm/kg],ankle,[Nm/kg],time,hip,[Nm/kg],knee,[Nm/kg],ankle,[Nm/kg]
% stride,avg,sd,avg,sd,avg,sd,% stride,avg,sd,avg,sd,avg,sd,% stride,avg,sd,avg,sd,avg,sd
72,-0.087,0.04,0.015,0.03,-0.010,0.00,72,-0.069,0.09,0.037,0.03,-0.012,0.00,72,0.082,0.06,0.059,0.03,0.013,0.00
74,-0.072,0.04,-0.002,0.03,-0.009,0.00,74,-0.057,0.06,0.020,0.03,-0.010,0.00,74,0.052,0.06,0.033,0.03,0.012,0.00
76,-0.055,0.05,-0.018,0.03,-0.008,0.00,76,-0.044,0.05,0.004,0.03,-0.010,0.00,76,0.027,0.06,0.014,0.03,0.012,0.00
78,-0.031,0.05,-0.034,0.03,-0.009,0.00,78,-0.026,0.05,-0.009,0.03,-0.010,0.00,78,0.002,0.05,-0.001,0.03,0.013,0.00
80,-0.011,0.05,-0.047,0.03,-0.009,0.00,80,-0.009,0.05,-0.023,0.03,-0.011,0.00,80,-0.025,0.05,-0.018,0.03,0.014,0.00
82,-0.010,0.06,-0.054,0.03,-0.009,0.00,82,0.008,0.05,-0.040,0.03,-0.012,0.00,82,-0.060,0.05,-0.041,0.03,0.015,0.00
84,-0.007,0.06,-0.062,0.03,-0.010,0.00,84,0.029,0.05,-0.059,0.03,-0.013,0.00,84,-0.105,0.05,-0.077,0.04,0.015,0.00
86,0.020,0.05,-0.074,0.03,-0.011,0.00,86,0.060,0.07,-0.082,0.03,-0.013,0.00,86,-0.164,0.06,-0.126,0.04,0.013,0.01
88,0.040,0.06,-0.084,0.03,-0.011,0.00,88,0.106,0.09,-0.114,0.04,-0.011,0.00,88,-0.237,0.08,-0.188,0.05,0.008,0.01
90,0.066,0.08,-0.102,0.05,-0.007,0.00,90,0.170,0.11,-0.158,0.05,-0.006,0.01,90,-0.325,0.11,-0.261,0.06,0.001,0.01
92,0.109,0.10,-0.132,0.07,-0.003,0.00,92,0.242,0.12,-0.211,0.06,0.001,0.01,92,-0.416,0.12,-0.331,0.07,-0.007,0.01
94,0.145,0.10,-0.158,0.07,0.001,0.00,94,0.296,0.14,-0.253,0.07,0.007,0.01,94,-0.477,0.15,-0.375,0.07,-0.013,0.01
96,0.143,0.11,-0.161,0.08,0.004,0.00,96,0.301,0.14,-0.263,0.08,0.011,0.01,96,-0.471,0.16,-0.366,0.08,-0.014,0.00
98,0.098,0.11,-0.130,0.08,0.003,0.00,98,0.237,0.14,-0.224,0.07,0.010,0.01,98,-0.384,0.15,-0.303,0.08,-0.011,0.00
100,0.020,0.09,-0.073,0.06,-0.001,0.01,100,0.118,0.12,-0.147,0.06,0.004,0.01,100,-0.247,0.12,-0.208,0.07,-0.003,0.01
